Date,Open,High,Low,Close,Adj Close,Volume
10/12/2015,245.050003,257,245.050003,251.649994,250.99234,388593
10/13/2015,253.5,253.5,248,249.899994,249.246918,172881
10/14/2015,250,258.200012,250,253.899994,253.236465,271920
10/15/2015,255.75,261.799988,254,255.649994,254.981888,286711
10/16/2015,257.299988,261.299988,252.75,255,254.333588,180995
10/19/2015,255,259.850006,255,257.200012,256.527863,75393
10/20/2015,257.549988,267.299988,257.5,262.549988,261.863861,724571
10/21/2015,264.899994,272,259,269.700012,268.995178,977901
10/23/2015,275,275.899994,240,243.25,242.614304,4270436
10/26/2015,245.5,249.949997,238.600006,242.100006,241.467316,718549
10/27/2015,241.899994,247.5,241,243.199997,242.564423,265824
10/28/2015,242.699997,246,239,239.850006,239.22319,242188
10/29/2015,239.850006,241.699997,231.800003,233.399994,232.790039,156410
10/30/2015,235.199997,238,227,228.550003,227.952713,185333
11/2/2015,230,230,221.149994,224.600006,224.013046,238624
11/3/2015,227.5,235.199997,226.350006,228.149994,227.553757,294034
11/4/2015,230,233,229,230.699997,230.097092,200377
11/5/2015,230.699997,234.399994,229.050003,231,230.396317,172732
11/6/2015,232.199997,233,230,231,230.396317,110622
11/9/2015,226.5,231,220.100006,229.149994,228.551147,116053
11/10/2015,227.75,234.649994,224.100006,225.449997,224.860809,108113
11/13/2015,229,229,222.5,223.699997,223.115387,111680
11/16/2015,223.75,227.050003,221.5,224.600006,224.013046,96544
11/17/2015,225.100006,228.449997,223.800003,224.399994,223.813553,108826
11/18/2015,224.399994,226,221,221.949997,221.369965,68670
11/19/2015,224.699997,226,222.100006,223.449997,222.866043,85285
11/20/2015,224.850006,228.75,223,227.899994,227.304413,202645
11/23/2015,228.899994,234.5,227,231.399994,230.795258,296451
11/24/2015,232.75,238.649994,231.100006,233.25,232.640427,263298
11/26/2015,235.5,242,232.5,234.75,234.136505,102292
11/27/2015,234.949997,240.699997,234.949997,239.25,238.624756,196755
11/30/2015,239.25,246.699997,237.600006,246,245.357117,214073
12/1/2015,245.149994,254.399994,242.149994,247.399994,246.753448,360642
12/2/2015,247.050003,251.5,244,247.850006,247.202286,160695
12/3/2015,246.199997,248.899994,244,245.300003,244.658951,58037
12/4/2015,243,249.899994,242,247.449997,246.803314,147630
12/7/2015,249.800003,252.5,247.100006,249.100006,248.44902,133049
12/8/2015,248.5,249.699997,237,241,240.370178,92643
12/9/2015,239.25,239.899994,231.149994,235.100006,234.485611,92501
12/10/2015,237.050003,242.300003,234,240.5,239.87149,184587
12/11/2015,241,242.699997,235.5,236.800003,236.181152,46834
12/14/2015,236,239.100006,232,234,233.388474,94892
12/15/2015,235.350006,237.600006,229.5,231,230.396317,106889
12/16/2015,233.050003,237,231.25,235.649994,235.034149,125864
12/17/2015,238,245,237,244.050003,243.412216,316456
12/18/2015,246.449997,247.5,241.449997,243.449997,242.813766,97023
12/21/2015,244.800003,250.5,244.5,249.600006,248.947708,221800
12/22/2015,250.75,251,245,245.649994,245.008026,97202
12/23/2015,248.149994,248.149994,241.5,246.850006,246.204895,82482
12/24/2015,246.899994,250.5,242.5,243.699997,243.063126,95913
12/28/2015,245.100006,245.899994,241.649994,243.300003,242.664169,49655
12/29/2015,243.899994,244.899994,238.199997,239.75,239.123444,61804
12/30/2015,240.5,242,238,238.550003,237.92659,40246
12/31/2015,239.800003,243.399994,236.25,238.800003,238.175934,120008
1/1/2016,239.449997,241.949997,237.050003,239.399994,238.774353,48882
1/4/2016,237.25,240.600006,232.199997,235.899994,235.283508,76005
1/5/2016,236.149994,240,236,236.600006,235.981689,41678
1/6/2016,237.5,239.949997,234,235.149994,234.535461,49140
1/7/2016,231.850006,235.699997,231,233.300003,232.690308,102499
1/8/2016,237.199997,239.399994,232.25,233.550003,232.939651,85736
1/11/2016,232.550003,234.899994,229.5,231.550003,230.944885,39671
1/12/2016,233.300003,233.899994,224,224.649994,224.062897,71384
1/13/2016,226.050003,229.899994,214.649994,220.050003,219.47493,117334
1/14/2016,218,220.5,210.949997,211.550003,210.997147,93635
1/15/2016,212.600006,217.449997,206,209.149994,208.603409,121433
1/18/2016,207.800003,207.800003,192,198.100006,197.582306,177404
1/19/2016,197.050003,201.899994,187.25,189.800003,189.303986,98549
1/20/2016,188.899994,192,183,189.449997,188.954895,79368
1/21/2016,191.449997,203,191.449997,194.550003,194.04158,155841
1/22/2016,197.850006,207.149994,197.850006,201.899994,201.37236,68196
1/25/2016,202.800003,217.75,202.800003,215.899994,215.33577,145196
1/27/2016,217,218.949997,212.550003,213.800003,213.241272,45502
1/28/2016,214.100006,219.5,212.800003,218.399994,217.829239,68647
1/29/2016,217,221.899994,214.899994,217.199997,216.63237,59328
2/1/2016,217.850006,222.100006,217.5,219.449997,218.876495,45347
2/2/2016,220.600006,224.899994,212.550003,215,214.438126,356126
2/3/2016,212.050003,218.100006,212,215.399994,214.837082,175794
2/4/2016,216.5,217.800003,210.050003,211.649994,211.096878,74910
2/5/2016,212,215.699997,205.600006,206.699997,206.159821,106378
2/8/2016,207.350006,208.800003,203,204,203.466873,55367
2/9/2016,203,203,195.850006,197.149994,196.634766,45205
2/10/2016,194,197.5,190.5,191.800003,191.298767,50574
2/11/2016,192.449997,192.449997,175.399994,182.5,182.023056,96982
2/12/2016,176.199997,183,170.75,177.25,176.786774,88120
2/15/2016,182.699997,188.699997,182.699997,184.949997,184.46666,43259
2/16/2016,190,190,185,188.100006,187.608429,43979
2/17/2016,190.899994,194.699997,187.199997,192.300003,191.797455,75675
2/18/2016,192,202,192,200.550003,200.025894,102360
2/19/2016,200.5,204.899994,198.949997,200.100006,199.577072,46417
2/22/2016,201,209.899994,198,205.5,204.962952,53216
2/23/2016,203.850006,204.050003,195.699997,197.899994,197.382813,33355
2/24/2016,195,203.75,191.199997,199.149994,198.629547,44357
2/25/2016,196,203.399994,192.75,195.050003,194.540268,69131
2/26/2016,192.149994,199.449997,188,191.199997,190.700317,50596
2/29/2016,196,196,183.5,185.199997,184.716003,46868
3/1/2016,186,193.199997,186,187.449997,186.960129,65962
3/2/2016,189.899994,197.5,188.199997,195.350006,194.839478,65485
3/3/2016,196,209.399994,194,208,207.456421,211102
3/4/2016,210.399994,214,207.75,210.350006,209.800278,137547
3/8/2016,209.949997,214,209.550003,210.399994,209.850143,94462
3/9/2016,210,212.550003,204,209.5,208.952499,88497
3/10/2016,209.050003,211.600006,204,205.449997,204.913086,54176
3/11/2016,204.800003,209,200,200.5,199.976013,71272
3/14/2016,202.899994,206.699997,202,202.25,201.721451,44094
3/15/2016,203.399994,208.050003,203,204.649994,204.115173,52130
3/16/2016,205.199997,205.199997,199,200.399994,199.876282,28341
3/17/2016,201.600006,205,196.800003,198.25,197.731903,27589
3/18/2016,199.199997,200,193.300003,195.5,194.98909,40385
3/21/2016,195.800003,199,193,195.949997,195.437912,47779
3/22/2016,195.149994,204.100006,195.149994,199.149994,198.629547,68588
3/23/2016,198,198.5,194.600006,194.75,194.241043,42247
3/28/2016,193.199997,199.5,193.199997,193.949997,193.44313,40146
3/29/2016,193.899994,196.5,189.600006,190.800003,190.301376,52893
3/30/2016,191.199997,195.699997,189.050003,189.649994,189.154373,102397
3/31/2016,190.399994,193.899994,188.5,192.199997,191.697708,43189
4/1/2016,191.649994,198.899994,191,198,197.482559,79276
4/4/2016,199.649994,202.75,197.300003,198.350006,197.83165,67277
4/5/2016,198,204.100006,195.199997,196.800003,196.28569,66079
4/6/2016,198,202,198,199.899994,199.377579,40286
4/7/2016,201,203.850006,199.350006,200.300003,199.77655,31941
4/8/2016,200.300003,212.800003,200.300003,203.600006,203.067932,88921
4/11/2016,203.649994,211.350006,203,206.800003,206.259552,104689
4/12/2016,207.699997,217.800003,207.699997,215.350006,214.787216,725348
4/13/2016,217,221.899994,212.949997,214.449997,213.889557,145434
4/18/2016,211,214.149994,209.300003,210.899994,210.348831,45827
4/20/2016,212,212.25,203.949997,204.300003,203.766098,88900
4/21/2016,205.5,212,205.5,206.75,206.209686,90189
4/22/2016,207.149994,209.350006,204.25,208.550003,208.00499,50038
4/25/2016,206,210.300003,206,207.899994,207.356674,86735
4/26/2016,208.5,214.5,207.649994,213.600006,213.041794,226479
4/27/2016,217.899994,218,210,212,211.445969,123754
4/28/2016,215.800003,218,205.550003,208.149994,207.606018,354999
4/29/2016,208.899994,210.5,202.550003,204.600006,204.065308,92077
5/2/2016,206,208.5,205.100006,205.649994,205.112549,77742
5/3/2016,206,209.899994,205,205.600006,205.062698,113658
5/4/2016,205.050003,209.899994,202.100006,202.550003,202.02066,111022
5/5/2016,203.100006,204.300003,197,198.25,197.731903,101334
5/6/2016,197.75,202.949997,196.25,198.600006,198.080994,74805
5/9/2016,198,201.050003,196.5,197.550003,197.033737,109523
5/10/2016,197.699997,199,194.399994,195.199997,194.689865,62610
5/11/2016,192.5,197.350006,192.5,194.050003,193.542877,88788
5/12/2016,193.75,195.300003,192.199997,192.550003,192.046799,57097
5/13/2016,192.199997,196.899994,191.5,195.25,194.739746,59025
5/16/2016,195.800003,196,192.699997,193.649994,193.143921,33671
5/17/2016,194.75,202.399994,193.649994,198.050003,197.532425,94158
5/18/2016,195.699997,197.899994,193.199997,195.600006,195.088837,49912
5/19/2016,196.800003,197,192.300003,193.100006,192.595367,29434
5/20/2016,196.5,196.5,193,194.75,194.241043,60381
5/23/2016,193.600006,199.899994,193.600006,194.899994,194.390656,99954
5/24/2016,194.399994,196,190.050003,191.5,190.999542,48786
5/25/2016,192.600006,193.850006,192,192.949997,192.445755,35025
5/26/2016,192,198.699997,192,195.949997,195.437912,92901
5/27/2016,196,197,194.100006,195.949997,195.437912,26923
5/30/2016,195.949997,203.5,194.699997,202.449997,201.920914,157218
5/31/2016,203.699997,203.75,197.5,201.75,201.222748,73626
6/1/2016,201.75,208,198.800003,206.5,205.960342,204265
6/2/2016,206.5,208,202,204.600006,204.065308,125393
6/3/2016,204.199997,205,198,198.899994,198.380188,87844
6/6/2016,196.199997,204.149994,196.199997,202.149994,201.621704,79346
6/7/2016,201.550003,210.699997,200,207.300003,206.758255,159993
6/8/2016,207.75,217,205.399994,216.199997,215.634995,216209
6/9/2016,216.100006,219.600006,211.899994,214.350006,213.789825,75966
