Date,Open,High,Low,Close,Adj Close,Volume
10/12/2015,832,839.950012,815,823.400024,815.866699,76889
10/13/2015,811.599976,838,811.599976,829.950012,822.356812,88390
10/14/2015,834.950012,842,827.150024,838.299988,830.630249,62646
10/15/2015,841.650024,851.950012,837.400024,849.200012,841.430603,57628
10/16/2015,851,875,850.25,853,845.195801,516982
10/19/2015,857,861,851.099976,854.5,846.682068,118136
10/20/2015,862,862,841.5,852.75,844.94812,92779
10/21/2015,854.049988,855.5,846,849.299988,841.529663,65237
10/23/2015,856,860,807.5,821.799988,814.28125,140051
10/26/2015,840,840,820,824.299988,816.758423,78045
10/27/2015,827.799988,835,825,830.450012,822.852112,75330
10/28/2015,834.849976,838.799988,822.599976,831.900024,824.288879,47214
10/29/2015,839.700012,846,834,843.75,836.030457,92074
10/30/2015,849,849.799988,816.599976,828.450012,820.870422,75988
11/2/2015,822.5,869.049988,822.5,860.400024,852.528198,224698
11/3/2015,868,887.900024,834.200012,842.950012,835.237732,1045538
11/4/2015,852.700012,869.900024,838.099976,845.299988,837.566223,171758
11/5/2015,845.299988,849.849976,818,821.75,814.231812,58699
11/6/2015,815.049988,829.349976,782,815.099976,807.642578,185205
11/9/2015,807,817.799988,780.099976,798.450012,791.144897,83109
11/10/2015,799,819.349976,797.099976,802.150024,794.811096,74683
11/13/2015,809.75,812.450012,793,796.400024,789.113708,103651
11/16/2015,798.900024,809.799988,797,804.950012,797.585449,70016
11/17/2015,805,815,798.450012,804.5,797.139587,49966
11/18/2015,804.950012,809.950012,785,795.099976,787.825439,45775
11/19/2015,800,815.700012,800,813.799988,806.354492,79353
11/20/2015,810.799988,831,805,827.5,819.929077,64155
11/23/2015,825,835.5,818.25,826.450012,818.888733,28754
11/24/2015,819.099976,835.150024,819,832.099976,824.487,27565
11/26/2015,835,842,820,835.150024,827.509277,45865
11/27/2015,841,856,836.200012,849.5,841.727844,86138
11/30/2015,856,865,831.099976,836,828.351379,106715
12/1/2015,841,848,840,844.650024,836.92218,33926
12/2/2015,850,850,822.650024,847.099976,839.349731,105611
12/3/2015,839.950012,839.950012,822.5,826.25,818.690613,62631
12/4/2015,824,824,805,806.799988,799.418457,85680
12/7/2015,814.799988,821.799988,801,803.700012,796.346985,41008
12/8/2015,800.049988,811,795.5,798.299988,790.996216,65300
12/9/2015,807.900024,807.900024,775,780.599976,773.458252,172656
12/10/2015,788,788,741.099976,751.5,744.624451,239072
12/11/2015,754.400024,796,754.400024,789.950012,782.722656,269031
12/14/2015,785.049988,785.900024,758.599976,776.650024,769.544312,154126
12/15/2015,785,790.700012,772.900024,785.5,778.313354,43749
12/16/2015,791,815,786.099976,811.950012,804.521484,93195
12/17/2015,821,821,805.650024,809.549988,802.143372,123444
12/18/2015,814,823.549988,812,818.799988,811.308777,167736
12/21/2015,824,825,814.5,817.700012,810.21875,59138
12/22/2015,827.25,830,814.299988,816.900024,809.426147,134363
12/23/2015,817,822.450012,783.5,794.5,787.231079,132065
12/24/2015,796,805,790.400024,797,789.708191,95184
12/28/2015,798,804.799988,795,797.099976,789.807251,46460
12/29/2015,801,814.5,787.900024,811.849976,804.422241,133904
12/30/2015,812.799988,812.799988,797.049988,805.450012,798.080872,38893
12/31/2015,807.900024,810.549988,797.099976,801.75,794.414734,74618
