Date,Open,High,Low,Close,Adj Close,Volume
10/12/2015,403.200012,405.899994,398.350006,401.299988,388.841858,569277
10/13/2015,403,404,397.5,401.299988,388.841858,805554
10/14/2015,398.100006,401,380.600006,386.600006,374.598236,10382179
10/15/2015,390.899994,422.75,390.899994,418.75,405.750122,10395979
10/16/2015,417.75,426.350006,414.049988,423.450012,410.30426,3867850
10/19/2015,420.299988,432.399994,416.350006,430.350006,416.990082,2417911
10/20/2015,429.899994,437.049988,427.350006,435.649994,422.125488,2265169
10/21/2015,434.049988,440.649994,432.149994,434.100006,420.623596,2856545
10/23/2015,437,438.350006,429.799988,432.149994,418.734192,2324249
10/26/2015,437.25,437.25,424.25,424.950012,411.75769,2370772
10/27/2015,424,428.299988,421.149994,424.799988,411.612335,2673636
10/28/2015,423.700012,427,417.75,420.799988,407.736511,2603192
10/29/2015,421.200012,422.950012,414.649994,415.700012,402.79483,2916664
10/30/2015,415.700012,421.149994,406,408.649994,395.963654,2159297
11/2/2015,412.950012,415,405,412.899994,400.081726,2642350
11/3/2015,414.950012,416.450012,412.450012,414.899994,402.019653,2732271
11/4/2015,415.200012,417.899994,412.700012,415.149994,402.261902,2599447
11/5/2015,414.950012,414.950012,404.049988,406.049988,393.444366,962740
11/6/2015,408.75,411.25,394.850006,398.450012,386.080353,2654554
11/9/2015,393.200012,393.700012,385.850006,390.899994,378.76474,2779743
11/10/2015,387,398.350006,384.700012,387.200012,375.179596,1872753
11/13/2015,385.899994,388.100006,375.799988,377.350006,365.635376,4395598
11/16/2015,377.350006,382.899994,374.549988,379.100006,367.331055,3496301
11/17/2015,383,384.299988,376.850006,379.899994,368.106232,1814631
11/18/2015,381.299988,383.75,378.049988,379.100006,367.331055,2297968
11/19/2015,380.899994,392.450012,380,391.399994,379.249207,2190565
11/20/2015,392.5,400.450012,390.100006,396.299988,383.997101,2503663
11/23/2015,397.5,409.5,396.149994,407.25,394.607208,2804622
11/24/2015,407.25,409.350006,400,401.600006,389.132568,1310215
11/26/2015,398.5,414.5,398.5,409,396.302826,3022983
11/27/2015,411,414.399994,406.799988,412.399994,399.59726,1500618
11/30/2015,411.350006,416.850006,406.350006,408.149994,395.479218,2516202
12/1/2015,409.899994,416.450012,407.299988,414.450012,401.583618,2216108
12/2/2015,418.649994,418.899994,412.100006,413.700012,400.856903,3036346
12/3/2015,412.450012,415.399994,407.700012,409.600006,396.884186,1521090
12/4/2015,407.149994,407.799988,394,395.649994,383.367249,1739804
12/7/2015,396.549988,402,395,400.100006,387.679169,1946681
12/8/2015,399.25,405.700012,396.799988,400.799988,388.357422,1113890
12/9/2015,400.799988,403.25,393.200012,395.950012,383.657959,1325884
12/10/2015,396.100006,403.850006,387.450012,402.200012,389.713928,1729318
12/11/2015,403,404.5,394.850006,397.75,385.402069,1079115
12/14/2015,399,409,395.100006,405.75,393.153687,922975
12/15/2015,405.799988,412,405.799988,408.350006,395.673004,1310961
12/16/2015,410,411.899994,407.299988,408.649994,395.963654,878128
12/17/2015,409.5,416.799988,404.049988,415.049988,402.165009,1258859
12/18/2015,415,417.100006,412.200012,413.549988,400.711578,2949501
12/21/2015,412.100006,418.399994,412.100006,417.25,404.296692,1750059
12/22/2015,415.5,417.899994,412.600006,415.399994,402.50412,917169
12/23/2015,416.799988,420.5,414.350006,419.049988,406.040802,1648251
12/24/2015,417.5,418.200012,410.100006,410.75,397.998505,2861942
12/28/2015,410.700012,416,409.200012,411.549988,398.773682,777602
12/29/2015,412.049988,417.850006,412.049988,416.350006,403.424683,1810627
12/30/2015,416.950012,429.799988,415.25,428.200012,414.906769,2196200
12/31/2015,429,439.350006,425.75,437.25,423.675842,3974352
